"Language Packs","Sprachpakete"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Achtung: Ihr Locale Pack passt nicht zur installierten Magento Version. Für mehr Information klicken Sie <a href='%s'>hier</a>."
"Austria","Österreich"
"German (Austria)","Deutsch (Österreich)"
"German language package de_AT - Community Edition (CE)","Deutsches Sprachpaket de_AT - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Das Sprachpaket <span style='color:red'>%s</span> in der Version <span style='color:red'>%s</span> wurde erfolgreich installiert."
"On the <a href='%s'>Magento Connect page of the German language pack</a>, you can find more information on the latest versions.","Auf der <a href='%s'>Magento-Connect-Seite des deutschen Sprachpakets</a> finden Sie weitere Informationen zu aktuellen Versionen."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Für Interessierte steht ein <a href='%s'>GitHub-Repository</a> zur Verfügung. Es ist für die folgenden Zwecke vorgesehen"
"Development of current language pack versions","Entwicklung aktueller Sprachpaket-Versionen"
"Report an error / send in patches, also happy for both published releases","Fehler melden/Patches einsenden, auch gerne für bereits veröffentlichte Releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (unabhängig der offiziellen Quellen)"
"Copy / forks for their own purposes","Kopieren/Forken für eigene Zwecke"
"Active participation in the language pack","Aktives Mitwirken am Sprachpaket"
"View Preview versions & test","Vorschau-Versionen ansehen & testen"
"Note for detailed information, the README file on the GitHub page.","Beachten Sie für detaillierte Informationen die README-Datei auf der GitHub-Seite."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Um Magento flächendeckend übersetzen zu können, beachten Sie bitte auch die Infos in den unteren Bereichen!"
"powered by","bereitgestellt von"
"and","und"
"Using your own translations","Eigene Übersetzungen nutzen"
"Recommended extensions","Empfohlene Erweiterungen"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Das installierte Sprachpaket liefert lediglich Übersetzungen der in Magento vorhandenen Texte. Wenn Sie Ihren Magento Shop auf die rechtlichen Anforderungen in %s vorbereiten oder um verbreitete Zahlungsarten erweitern möchten, dann empfehlen wir Ihnen zusätzlich folgende Erweiterungen zu installieren."
"Specific market adjustment for","Spezifische Marktanpassung für"
"Austrian and European stores","Österreichische und Europäische Läden"
"Preconfigured for the Austrian market","Vorkonfiguriert für den Österreichischen Markt"
"Currently not available","Derzeit nicht verfügbar"
"Note: Install the extension %s, so you can use %s as a <a href='%s'>fallback language</a>.","<b>Hinweis:</b> Installieren Sie die Erweiterung %s, damit Sie <span style='color:red; font-weight:bold;'>%s</span> als <a href='%s'>Ausweichsprache</a> nutzen können."
"Note: Install the language package %s to use it as a <a href='%s'>fallback language</a>.","<b>Hinweis:</b> Installieren Sie das Sprachpaket %s, um es als <a href='%s'>Ausweichsprache</a> nutzen zu können."
"Common payment methods","Verbreitete Zahlungsarten"
"Debit / direct debit","Bankeinzug/Lastschrift"
"Cash On Delivery","Nachnahme"
"Payment in Advance","Vorkasse"
"Extension Key for the","Erweiterungsschlüssel für den"
"on","auf"
